Entity,Code,Year,annual_visits
Afghanistan,AFG,1988,1
Austria,AUT,1991,1
Belgium,BEL,1992,1
Belgium,BEL,2002,1
Belgium,BEL,2009,1
Brazil,BRA,2006,1
Bulgaria,BGR,1979,1
Bulgaria,BGR,1988,1
Canada,CAN,1984,1
Canada,CAN,1992,2
Canada,CAN,1995,1
Canada,CAN,1996,2
Canada,CAN,1997,1
Canada,CAN,1998,1
Canada,CAN,1999,1
Canada,CAN,2000,1
Canada,CAN,2001,1
Canada,CAN,2006,1
Canada,CAN,2007,1
Canada,CAN,2009,3
Canada,CAN,2012,1
Canada,CAN,2018,1
China,CHN,2003,1
China,CHN,2005,2
China,CHN,2008,3
China,CHN,2012,3
China,CHN,2013,3
China,CHN,2016,2
Cuba,CUB,1980,1
Czechia,CZE,1978,1
Denmark,DNK,2015,1
France,FRA,1982,1
France,FRA,1985,1
France,FRA,1988,1
France,FRA,1992,1
France,FRA,1993,1
France,FRA,1994,1
France,FRA,1996,2
France,FRA,1997,2
France,FRA,1998,1
France,FRA,1999,3
France,FRA,2001,1
France,FRA,2002,1
France,FRA,2008,1
France,FRA,2016,1
France,FRA,2021,1
Germany,DEU,1978,1
Germany,DEU,1983,1
Germany,DEU,1985,2
Germany,DEU,1991,1
Germany,DEU,1992,1
Germany,DEU,1993,2
Germany,DEU,1994,1
Germany,DEU,1995,1
Germany,DEU,1997,1
Germany,DEU,2000,1
Germany,DEU,2006,1
Germany,DEU,2008,1
Germany,DEU,2014,1
Germany,DEU,2018,1
Hungary,HUN,1980,1
Hungary,HUN,2007,1
Hungary,HUN,2009,1
India,IND,1984,1
Iran,IRN,2006,1
Israel,ISR,2003,1
Italy,ITA,1992,1
Italy,ITA,1996,2
Italy,ITA,2001,1
Italy,ITA,2002,1
Italy,ITA,2005,1
Italy,ITA,2007,1
Italy,ITA,2010,1
Italy,ITA,2011,1
Italy,ITA,2013,1
Italy,ITA,2014,1
Italy,ITA,2017,1
Italy,ITA,2019,1
Japan,JPN,1992,1
Japan,JPN,1994,1
Japan,JPN,1996,1
Japan,JPN,1997,1
Japan,JPN,1998,1
Japan,JPN,2000,2
Japan,JPN,2005,1
Japan,JPN,2008,2
Japan,JPN,2009,2
Japan,JPN,2010,1
Japan,JPN,2011,1
Japan,JPN,2012,1
Japan,JPN,2013,1
Japan,JPN,2015,1
Japan,JPN,2016,1
Japan,JPN,2017,1
Japan,JPN,2020,1
Japan,JPN,2021,1
Kazakhstan,KAZ,1994,1
Kazakhstan,KAZ,1998,1
Kazakhstan,KAZ,2001,1
Kazakhstan,KAZ,2015,1
Malaysia,MYS,2007,1
Mexico,MEX,1985,1
Mongolia,MNG,1981,1
Netherlands,NLD,1985,1
Netherlands,NLD,2004,1
Netherlands,NLD,2011,1
Peru,PER,1997,1
Peru,PER,2000,1
Poland,POL,1978,1
Romania,ROU,1981,1
Russia,RUS,1961,2
Russia,RUS,1962,2
Russia,RUS,1963,2
Russia,RUS,1964,3
Russia,RUS,1965,2
Russia,RUS,1967,1
Russia,RUS,1968,1
Russia,RUS,1969,11
Russia,RUS,1970,2
Russia,RUS,1971,6
Russia,RUS,1973,4
Russia,RUS,1974,6
Russia,RUS,1975,8
Russia,RUS,1976,6
