Entity,Code,Year,cumulative_launches
Algeria,DZA,2002,1
Algeria,DZA,2010,2
Algeria,DZA,2016,5
Algeria,DZA,2017,6
Angola,AGO,2017,1
Angola,AGO,2022,2
Arabsat,,1985,2
Arabsat,,1992,3
Arabsat,,1996,5
Arabsat,,1999,6
Arabsat,,2006,8
Arabsat,,2008,9
Arabsat,,2010,11
Arabsat,,2011,12
Arabsat,,2015,13
Arabsat,,2019,14
Argentina,ARG,1990,1
Argentina,ARG,1996,4
Argentina,ARG,1997,5
Argentina,ARG,1998,6
Argentina,ARG,2000,8
Argentina,ARG,2002,10
Argentina,ARG,2007,11
Argentina,ARG,2011,12
Argentina,ARG,2013,14
Argentina,ARG,2014,16
Argentina,ARG,2015,17
Argentina,ARG,2018,18
Argentina,ARG,2020,19
Argentina,ARG,2021,20
Armenia,ARM,2022,1
Australia,AUS,1967,1
Australia,AUS,1970,2
Australia,AUS,1985,4
Australia,AUS,1987,5
Australia,AUS,1990,6
Australia,AUS,1992,8
Australia,AUS,1994,9
Australia,AUS,1998,10
Australia,AUS,2002,11
Australia,AUS,2003,12
Australia,AUS,2006,13
Australia,AUS,2007,14
Australia,AUS,2009,15
Australia,AUS,2014,16
Australia,AUS,2015,17
Australia,AUS,2016,18
Australia,AUS,2017,19
Australia,AUS,2018,25
Australia,AUS,2019,26
Australia,AUS,2020,29
Australia,AUS,2021,36
Austria,AUT,2013,2
Austria,AUT,2017,3
Azerbaijan,AZE,2013,1
Azerbaijan,AZE,2014,2
Azerbaijan,AZE,2018,3
Bangladesh,BGD,2017,1
Bangladesh,BGD,2018,2
Belarus,BLR,2012,1
Belarus,BLR,2016,2
Belarus,BLR,2018,3
Belgium,BEL,2014,3
Belgium,BEL,2016,4
Belgium,BEL,2017,32
Belgium,BEL,2020,35
Belgium,BEL,2021,36
Bhutan,BTN,2018,1
Bolivia,BOL,2013,1
Brazil,BRA,1985,1
Brazil,BRA,1986,2
Brazil,BRA,1990,3
Brazil,BRA,1993,4
Brazil,BRA,1994,5
Brazil,BRA,1995,6
Brazil,BRA,1998,8
Brazil,BRA,1999,12
Brazil,BRA,2000,13
Brazil,BRA,2004,15
Brazil,BRA,2007,16
Brazil,BRA,2008,17
Brazil,BRA,2009,18
Brazil,BRA,2011,19
Brazil,BRA,2012,20
Brazil,BRA,2013,21
Brazil,BRA,2014,23
Brazil,BRA,2015,26
Brazil,BRA,2016,27
Brazil,BRA,2017,31
Brazil,BRA,2018,34
Brazil,BRA,2019,36
Brazil,BRA,2021,39
Brazil,BRA,2022,40
Bulgaria,BGR,2017,1
Bulgaria,BGR,2018,2
Bulgaria,BGR,2021,3
Bulgaria,BGR,2022,4
Canada,CAN,1962,1
Canada,CAN,1965,2
Canada,CAN,1969,3
Canada,CAN,1971,4
Canada,CAN,1972,6
Canada,CAN,1973,8
