Entity,Code,Year,cumulative_individuals
Afghanistan,AFG,1988,1
Austria,AUT,1991,1
Belgium,BEL,1992,1
Belgium,BEL,2002,2
Brazil,BRA,2006,1
Bulgaria,BGR,1979,1
Bulgaria,BGR,1988,2
Canada,CAN,1984,1
Canada,CAN,1992,3
Canada,CAN,1995,4
Canada,CAN,1996,5
Canada,CAN,1997,6
Canada,CAN,1998,7
Canada,CAN,1999,8
Canada,CAN,2009,9
Canada,CAN,2018,10
China,CHN,2003,1
China,CHN,2005,3
China,CHN,2008,6
China,CHN,2012,8
China,CHN,2013,10
China,CHN,2016,11
Cuba,CUB,1980,1
Czechia,CZE,1978,1
Denmark,DNK,2015,1
France,FRA,1982,1
France,FRA,1985,2
France,FRA,1992,3
France,FRA,1993,4
France,FRA,1994,5
France,FRA,1996,7
France,FRA,1998,8
France,FRA,2002,9
France,FRA,2016,10
Germany,DEU,1978,1
Germany,DEU,1983,2
Germany,DEU,1985,4
Germany,DEU,1991,5
Germany,DEU,1993,7
Germany,DEU,1995,8
Germany,DEU,1997,9
Germany,DEU,2000,10
Germany,DEU,2014,11
Hungary,HUN,1980,1
Hungary,HUN,2007,2
India,IND,1984,1
Iran,IRN,2006,1
Israel,ISR,2003,1
Italy,ITA,1992,1
Italy,ITA,1996,3
Italy,ITA,2002,4
Italy,ITA,2007,5
Italy,ITA,2013,6
Italy,ITA,2014,7
Japan,JPN,1992,1
Japan,JPN,1994,2
Japan,JPN,1996,3
Japan,JPN,1997,4
Japan,JPN,2005,5
Japan,JPN,2008,6
Japan,JPN,2010,7
Japan,JPN,2011,8
Japan,JPN,2015,9
Japan,JPN,2016,10
Japan,JPN,2017,11
Kazakhstan,KAZ,1994,1
Kazakhstan,KAZ,2015,2
Malaysia,MYS,2007,1
Mexico,MEX,1985,1
Mongolia,MNG,1981,1
Netherlands,NLD,1985,1
Netherlands,NLD,2004,2
Peru,PER,1997,1
Poland,POL,1978,1
Romania,ROU,1981,1
Russia,RUS,1961,2
Russia,RUS,1962,4
Russia,RUS,1963,6
Russia,RUS,1964,9
Russia,RUS,1965,11
Russia,RUS,1968,12
Russia,RUS,1969,21
Russia,RUS,1970,22
Russia,RUS,1971,25
Russia,RUS,1973,29
Russia,RUS,1974,32
Russia,RUS,1975,34
Russia,RUS,1976,38
Russia,RUS,1977,42
Russia,RUS,1978,44
Russia,RUS,1979,45
Russia,RUS,1980,49
Russia,RUS,1981,50
Russia,RUS,1982,53
Russia,RUS,1983,55
Russia,RUS,1984,58
Russia,RUS,1985,60
Russia,RUS,1987,64
Russia,RUS,1988,67
Russia,RUS,1990,70
Russia,RUS,1991,72
Russia,RUS,1992,74
Russia,RUS,1993,76
Russia,RUS,1994,79
Russia,RUS,1995,82
Russia,RUS,1996,84
Russia,RUS,1997,86
Russia,RUS,1998,89
Russia,RUS,1999,90
Russia,RUS,2000,92
Russia,RUS,2001,95
Russia,RUS,2002,97
Russia,RUS,2004,98
Russia,RUS,2007,99
Russia,RUS,2008,101
Russia,RUS,2009,103
Russia,RUS,2010,107
Russia,RUS,2011,111
Russia,RUS,2012,114
Russia,RUS,2013,116
Russia,RUS,2014,118
Russia,RUS,2016,120
Russia,RUS,2018,121
Russia,RUS,2020,123
