Scout,,1961,118500,Small,,Year,AverageofAllLaunchplatforms
Kosmos,,1962,14900,Small,,1961,118500
Atlas Centaur,,1963,29500,Medium,,1962,66700
Titan II,,1964,30600,Medium,,1963,54300
Delta E,,1965,177900,Medium,,1964,48375
Proton,,1965,8200,Heavy,,1965,57228.57143
Titan III+,,1965,21000,Medium,,1966,47433.33333
R-36 / Cyclone,,1966,8400,Medium,,1967,43230
Soyuz,,1966,17900,Medium,,1968,43230
Saturn V,,1967,5400,Heavy,,1969,43230
Delta 3000-Series,,1975,21400,Small,,1970,43230
Long March 2A,,1975,17500,Medium,,1971,43230
Delta 3910,,1980,32800,Small,,1972,43230
Space Shuttle,,1981,65400,Heavy,,1973,43230
Long March 2C,,1982,8300,Medium,,1974,43230
Zenit 2,,1985,5100,Medium,,1975,39266.66667
Ariane 44,,1988,18300,Medium,,1976,39266.66667
Shavit,,1988,31100,Small,,1977,39266.66667
Titan IV,,1989,30800,Heavy,,1978,39266.66667
Delta II,,1990,38800,Medium,,1979,39266.66667
Long March 2E,,1990,9900,Medium,,1980,38769.23077
Pegasus,,1990,41100,Small,,1981,40671.42857
Atlas II,,1991,18700,Medium,,1982,38513.33333
Long March 2D,,1992,9100,Medium,,1983,38513.33333
Start,,1993,23600,Small,,1984,38513.33333
H-II,,1994,10500,Medium,,1985,36425
Long March 3A,,1994,8700,Medium,,1986,36425
PSLV,,1994,8500,Medium,,1987,36425
Rokot,,1994,20600,Small,,1988,35122.22222
Taurus,,1994,34600,Small,,1989,34894.73684
Pegasus XL,,1996,50600,Small,,1990,34218.18182
Ariane 5G,,1997,10200,Heavy,,1991,33543.47826
Athena 1,,1997,19200,Small,,1992,32525
Long March 3B,,1997,6200,Medium,,1993,32168
M-V,,1997,45800,Small,,1994,29570
Shtil,,1998,19100,Small,,1995,29570
Delta III,,1999,18000,Medium,,1996,30248.3871
Dnepr,,1999,9600,Medium,,1997,29117.14286
Long March 4B,,1999,7600,Medium,,1998,28838.88889
Zenit 3SL,,1999,8900,Medium,,1999,27057.5
Atlas III,,2000,16000,Medium,,2000,27890.47619
Minotaur I,,2000,73100,Small,,2001,27474.4186
GSLV,,2001,10000,Medium,,2002,26664.44444
Atlas V,,2002,8100,Medium,,2003,26328.26087
Delta IV,,2002,10400,Medium,,2004,26014.89362
Strela,,2003,11200,Small,,2005,26014.89362
Delta IV Heavy,,2004,11600,Heavy,,2006,26014.89362
Falcon 1,,2008,12600,Small,,2007,26014.89362
Falcon 9,,2010,2600,Medium,,2008,25735.41667
Minotaur IV,,2010,30500,Small,,2009,25735.41667
Vega,,2012,20000,Small,,2010,25368
Antares,,2013,13600,Medium,,2011,25368
Epsilon,,2013,34500,Small,,2012,25262.7451
Kuaizhou,,2013,10600,Small,,2013,24946.2963
Angara,,2014,4500,Heavy,,2014,24574.54545
Long March 11,,2015,10600,Small,,2015,24325
Long March 5,,2016,7900,Heavy,,2016,24036.84211
LVM3,,2017,8000,Medium,,2017,23760.34483
Electron,,2018,23100,Small,,2018,23378.33333
Falcon Heavy,,2018,1500,Heavy,,2019,23278.68852
Shian Quxian,,2019,17300,Small,,2020,23278.68852
